연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
622,SK네트웍스 Family AI 캠프,27,교과목실습2,통신사 고객 데이터를 기반으로 고객 이탈 가능성을 예측하고 부서별 맞춤 대시보드로 관리하는 AI 서비스입니다.,"고객 이탈이 통신사 매출에 직접적인 영향을 주고 이탈 후 대응은 효과가 낮다는 문제를 해결하기 위해, 이탈 전에 위험 고객을 식별하는 것을 목표로 합니다. AI 예측 모델로 이탈 확률을 산출하고, 분석팀·마케팅팀·영업팀·운영팀별 화면을 통해 모델 지표 관리, 캠페인 관리, 고객 관리, 시스템 운영 기능을 제공합니다.",,"Python, Pandas, NumPy, Matplotlib, Seaborn, Plotly, scikit-learn, XGBoost, LightGBM, CatBoost, PyTorch, TabNet, imbalanced-learn, Optuna, SHAP, Streamlit, MySQL, JSON, joblib, Git, GitHub, Docker Compose, Target Encoding, StandardScaler, Logistic Regression, K-Means, 5-Fold CV",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-2ND-1TEAM
623,SK네트웍스 Family AI 캠프,27,교과목실습2,Kaggle 넷플릭스 유저 데이터를 활용해 고객 이탈을 분석하고 이탈 가능성이 높은 유저를 예측하는 머신러닝 프로젝트,"OTT 시장 경쟁 심화로 기존 고객 유지가 중요해진 상황에서, 넷플릭스 유저의 시청 패턴, 구독 정보, 기기 사용 습관을 분석해 이탈 가능성이 높은 유저를 사전에 식별하는 것을 목표로 합니다. 6개의 CSV 데이터를 통합해 유저별 프로필을 구축하고, 완독률·시간당 비용·상호작용 지표 등 파생 변수를 생성한 뒤 DecisionTree, XGBoost, LightGBM, CatBoost 모델을 비교했습니다. 또한 모델 중요도와 상관관계 분석을 통해 고객 이탈에 영향을 주는 요소를 파악하고 향후 불균형 데이터 대응 및 피처 엔지니어링 개선 방향을 제시했습니다.",Kaggle 넷플릭스 유저 데이터셋,"Python, Pandas, seaborn, scikit-learn, Streamlit, Docker, XGBoost, LightGBM, CatBoost",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-2nd-2TEAM
624,SK네트웍스 Family AI 캠프,27,교과목실습2,KKBOX 구독자 데이터를 활용해 이탈 위험 고객을 조기에 예측하고 리텐션 마케팅 액션을 지원하는 고객 이탈 방지 시스템입니다.,"스트리밍 구독 시장에서 신규 고객 유치보다 기존 고객 유지가 중요하며, 대규모 사용자 행동 로그와 결제 데이터를 수동으로 분석하기 어렵다는 문제를 해결하려는 프로젝트입니다. 사용자의 활동 패턴과 결제 이력을 기반으로 이탈 가능성을 예측하고, 주요 이탈 요인을 분석하며, 예측 확률을 바탕으로 맞춤형 혜택 제공 등 리텐션 전략 수립 근거를 마련하는 것을 목표로 합니다.",Kaggle KKBOX Churn Prediction Challenge 데이터셋,"Python, Pandas, NumPy, Matplotlib, Seaborn, XGBoost, Scikit-Learn, PyTorch, LightGBM, CatBoost, Streamlit, CSS3, Google Colab, MySQL, PyMySQL, Git, GitHub, Notion, Figma, Docker, Docker Compose",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-2nd-3TEAM
625,SK네트웍스 Family AI 캠프,27,교과목실습2,이커머스 고객 데이터를 기반으로 고객 이탈 가능성을 예측하고 행동 분석과 소비 트렌드 해석을 통해 유지 전략을 제안하는 플랫폼입니다.,"가격·할인·배송속도 중심의 이커머스 경쟁 심화로 고객 이탈을 사전에 파악하기 어렵고, 축적된 데이터가 실질적 의사결정으로 연결되지 않는 문제를 해결하려는 프로젝트입니다. 고객 행동 패턴 분석, 이탈 확률 예측, 위험군 분류, RFM 세그먼트 분석, 한국 소비 트렌드 시각화를 제공하며, 고객이 떠난 이후가 아니라 떠나기 전에 대응하는 데이터 기반 유지 전략 제안을 목표로 합니다.","E-commerce Customer Churn Dataset, 통계청 소비 지출 데이터, 통계청 온라인 쇼핑 거래액, 소비자 심리지수(소비자동향조사)","Python, XGBoost, LightGBM, scikit-learn, Pandas, SHAP, PostgreSQL, Docker, SQLAlchemy, Streamlit, Plotly, Random Forest, MLP, Optuna",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-2nd-4TEAM
626,SK네트웍스 Family AI 캠프,27,교과목실습3,"메이플스토리 공식 API, 공식 문서, 위키형 보조 문서, 추천 룰, GraphDB 관계 데이터를 통합해 캐릭터 분석과 근거 기반 답변을 제공하는 RAG 멀티 에이전트 챗봇 프로젝트","메이플스토리의 직업, 장비, 보스, 이벤트, 패치 정보가 방대해 사용자가 여러 정보 출처를 오가며 최신성과 신뢰도를 판단해야 하는 문제를 해결하려는 프로젝트이다. NEXON Open API 기반 캐릭터·장비·스탯 조회, PGVector 문서 검색, Neo4j 관계 탐색, Tavily 기반 Web RAG, LangGraph 기반 멀티 에이전트 라우팅을 통해 캐릭터 분석과 출처 기반 최종 답변을 제공한다. 프로젝트는 공식 정보, 위키, 추천 룰, GraphDB 관계, 최신 웹 정보를 결합해 복합 질문에 대응하는 챗봇을 구현하는 것을 목표로 한다.","NEXON Open API 캐릭터·장비·스탯 데이터, 메이플스토리 공식 문서 데이터, 위키형 보조 문서 데이터, Tavily 및 DuckDuckGo 기반 웹 검색 데이터","Python 3.12, Streamlit, LangChain, LangGraph, Groq openai/gpt-oss-120b, google/embeddinggemma-300m, OpenAI text-embedding-3-small, PostgreSQL, PGVector, Neo4j, Tavily, DuckDuckGo, Docker, Docker Compose, RAGAS",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-3rd-1TEAM
627,SK네트웍스 Family AI 캠프,27,교과목실습3,사용자의 자연어 요청과 선호·비선호 정보를 반영해 KAG와 RAG 기반으로 음악을 추천하는 멀티 에이전트 음악 큐레이션 서비스입니다.,"이 프로젝트는 LLM이 임의로 곡이나 추천 이유를 생성하는 문제를 줄이기 위해 KAG 후보 content_id 안에서만 RAG 검색을 수행하고, 응답 결과와 근거의 일치 여부를 검증합니다. 사용자의 대화 맥락, 취향, 비선호 정보를 반영해 개인화 추천, 신규 음악 탐색, 챗봇 기반 추천을 제공하며, 상세 모달에서 추천 근거를 확인할 수 있도록 설계되었습니다.",legacy Spotify/Kaggle sample 데이터,"Python, FastAPI, React, TypeScript, PostgreSQL, Neo4j, Elasticsearch, Redis, Docker, OpenAI API, Pydantic, pytest",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-3rd-2TEAM
628,SK네트웍스 Family AI 캠프,27,교과목실습3,"LangGraph 기반 하이브리드 RAG와 포켓몬 데이터를 활용해 포켓몬 도감, AI 챗봇, 팀 빌더, 배틀 시뮬레이터 등을 제공하는 프로젝트입니다.","이 프로젝트는 포켓몬 팀 구성, 포켓몬 정보 탐색, 배틀 시뮬레이션, 챗봇 질의응답을 하나의 서비스에서 제공하도록 구성되었습니다. 핵심 기능은 1,025마리 포켓몬 도감, SQL·Vector·Graph 기반 AI 챗봇, 5마리 선택 후 6번째 포켓몬을 추천하는 팀 빌더, 1v1 타입 상성 배틀 시뮬레이터, GitHub OAuth 로그인입니다. 프로젝트는 Neo4j 그래프 DB와 PostgreSQL pgvector를 함께 활용한 Hybrid RAG 및 근거 기반 생성으로 추천과 답변의 정확성을 높이는 방향을 제시합니다.","PokeAPI 포켓몬 정보, PokeAPI Ability 파일, PokeAPI Move 데이터, GitHub OAuth API 사용자 프로필·레포·커밋·스타 데이터","Streamlit, Streamlit-cookies-controller, FastAPI, Uvicorn, SQLAlchemy, psycopg2, Pydantic, LangChain, LangGraph, LangSmith, OpenAI GPT-4o-mini, Groq, llama-3.3-70b-versatile, sentence-transformers, pgvector, BM25, PostgreSQL 16, Neo4j 5.x, APOC, Graph Data Science, GitHub OAuth 2.0, Docker, Docker Compose, SSE, SQLDatabase, Cypher",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-3rd-3TEAM
629,SK네트웍스 Family AI 캠프,27,교과목실습3,서울 종로구 실거래가 데이터와 법령·판례 RAG를 활용해 전세계약의 가격 위험과 계약 위험을 진단하는 AI 에이전트 프로젝트,"사용자가 계약 정보나 계약 관련 문서를 입력했을 때 주변 실거래가 대비 전세가 적정성, 24개월 뒤 보증금 회수 위험 가능성, 법률·판례·특약 관점의 추가 검토 필요 여부를 확인하도록 설계되었다. 핵심 기능은 가격 위험도 진단, 등기·계약서 분석, 법령·판례 RAG 기반 근거 인용, 계약 체크리스트, AI 상담 챗봇 제공이다. 프로젝트는 단순 시세 비교가 아니라 가격 모델, 등기·계약서 분석, 법령·판례 RAG를 결합해 전세계약 위험 진단을 보조하는 방향을 가진다.","국토교통부 실거래가 공개시스템 서울 종로구 실거래가 데이터, 대법원 종합법률정보 판례 데이터","Python 3.11, Streamlit, Plotly, HTML/CSS, Pandas, numpy, PublicDataReader, scikit-learn, LightGBM, XGBoost, CatBoost, joblib, PyTorch, pytorch-tabnet, LangChain, LangGraph, PyMuPDF4LLM, pdfplumber, pypdf, ChromaDB, PostgreSQL, pgvector, Neo4j, psycopg2, SQLAlchemy, Docker, docker-compose, cron, OpenAI API, LangChain OpenAI, FastAPI",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-3rd-4TEAM
630,SK네트웍스 Family AI 캠프,27,교과목실습4,"Django 기반으로 괴담과 금기 정보를 아카이빙하고, Neo4j 지역 관계 탐색과 LLM 기반 괴담 생성을 제공하는 웹 플랫폼입니다.","파편화된 지역 괴담·금기 정보 탐색의 어려움, 괴담·장소·괴이 간 관계 파악의 한계, 괴담 창작의 어려움을 해결하기 위해 설계된 프로젝트입니다. PostgreSQL 기반 기록 저장과 검색, Neo4j GraphDB 기반 지역 정보실, LangGraph 챗봇, LLM 기반 AI 괴담 생성, TTS 낭독, 회원 인증과 게시판 기능을 구현했습니다. 프로젝트 목표는 Django 웹 코어 기능과 View-Service 계층 분리 구조를 기반으로, pgvector 검색·GraphDB 탐색·LLM 생성 파이프라인을 결합하는 것입니다.","DC인사이드 공포 목격담 데이터, 나무위키 mythology 데이터","Python 3.12, JavaScript, HTML5, CSS3, Django, Django Templates, PostgreSQL, pgvector, Neo4j, LangGraph, LLM, Groq, Ollama, Docker, RAGAS, ElevenLabs v3, Cypher Query, Django ORM, Django Session Auth, CSRF Token",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-4th-1team
631,SK네트웍스 Family AI 캠프,27,교과목실습4,"LLM과 RAG를 활용해 반려견 케어 Q&A, 견종 정보 조회, 입양 테스트, 유기견 입양 정보를 제공하는 웹 서비스입니다.","Pet Mate는 반려견 입양 전후에 필요한 준비물, 훈련, 견종 특성, 보호동물 정보가 여러 사이트에 분산되어 있어 초보 보호자가 판단하기 어렵다는 문제를 해결하려 합니다. 챗봇은 반려견 케어 문서와 견종 정보를 RAG로 검색해 답변을 제공하고, 견종도감, 입양 테스트, 가이드, 공공데이터포털 동물보호 API 기반 유기견 조회 기능을 제공합니다. 프로젝트는 반려견 입양 준비부터 실제 보호동물 탐색까지 하나의 서비스 흐름으로 연결하는 것을 목표로 합니다.","TheDogAPI 견종 기본 정보 및 이미지, API Ninjas Dogs API 견종 특성 정보, American Kennel Club(AKC) 견종 설명 및 반려견 article 데이터, Merck Veterinary Manual 건강/수의학 문서, 유튜브 반려견 Q&A 및 교육 콘텐츠 기반 데이터, 공공데이터포털 유기동물 조회 API 보호동물 데이터, 입양/공공예절/재난 대응/행동지도 관련 공식 가이드 문서","HTML5, CSS3, JavaScript, Python, Django, OpenAI API, OpenAI Embedding, LangChain, LangGraph, PostgreSQL, pgvector, PGVector, Pandas, BeautifulSoup, Playwright, Docker, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-4th-2team
632,SK네트웍스 Family AI 캠프,27,교과목실습4,초자연 공포 스릴러 미스터리 세계관에서 괴이와 의식 결투를 진행하는 1대1 턴제 심리전 웹 게임 MVP 프로젝트입니다.,"이 프로젝트는 승인된 사건인 `mirror_guest`, `nameless_curse`를 중심으로 플레이어가 괴이의 진명을 파헤치며 의식 결투를 진행하는 게임 MVP를 구현합니다. 핵심 기능은 회원가입/로그인, AI 사건 선택과 브리핑, 턴 제출 및 서버 판정, 승패와 로그 조회, 행동 이벤트 기반 스타일 지표 계산, staff 전용 RAG 수동 ingest/search, LLM 보조 텍스트 생성, WebSocket 기반 상태 동기화입니다. 프로젝트 방향성은 Obsidian 승인 문서와 official API schema를 기준으로 서버 권위를 유지하고, LLM과 RAG가 룰 판정이나 승패를 바꾸지 않도록 하는 것입니다.",,"Django, Django REST Framework, ASGI, PostgreSQL, pgvector, Redis, Django Channels, WebSocket, React, TypeScript, Vite, React Router, JWT, HttpOnly cookie, CSRF, RAG, LLM runtime, Groq 호환 adapter, jsonschema, pytest, Docker Compose, Dockerfile, Gunicorn, Caddy",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-4th-3team
633,SK네트웍스 Family AI 캠프,27,교과목실습4,"운동 라이브러리, 개인 맞춤 운동 루틴 추천, RAG 기반 AI 운동 챗봇을 제공하는 AI 운동 루틴 추천 서비스입니다.","운동 경험자의 반복 루틴으로 인한 정체기, 운동 초보자의 시작 어려움, 통증/부상 이력 사용자의 운동 구분 어려움, 운동 정보가 흩어져 있는 문제를 해결하려는 프로젝트입니다. 운동별 영상·타겟 부위·난이도·기구·자세 가이드를 제공하고, 목표·체력 수준·통증 부위·운동 요일과 시간에 맞는 주간 루틴을 생성합니다. 또한 RAG 기반 챗봇으로 운동 자세, 주의사항, 대체 운동 질문에 답변하고 추천 루틴 저장, 수행 체크, 데일리 메모, 피드백 기반 재추천을 지원합니다.",,"React, Vite, Django REST API, PostgreSQL, pgvector, Neo4j GraphDB, LangGraph, RAG, JWT, SSE, AWS, EC2, nginx, Cypher",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-4th-4team
634,SK네트웍스 Family AI 캠프,27,최종프로젝트,"영수증 OCR로 식재료 재고를 자동 등록하고 보유 재료 기반 레시피 추천, 챗봇, 캘린더 알림을 제공하는 AI 식자재 관리 서비스입니다.","이 프로젝트는 냉장고 속 식재료를 방치해 유통기한이 지나거나, 보유 재료를 파악하지 못해 식재료 관리가 어려운 문제를 해결하려 합니다. 영수증 촬영을 통한 재고 자동 등록, 보유 재료 기반 레시피 추천, 식재료 가이드, 장보기·가격 비교, AI 챗봇, Google Calendar 알림 기능을 제공합니다. OCR, 그래프 기반 추천, AI 챗봇·캘린더 알림을 통해 식재료 입력 부담을 줄이고 재고 관리를 쉽게 만드는 방향성을 제시합니다.","통계청·KOSIS 인구주택총조사 2024, Tavily Search 및 커머스 API 기반 장보기 가격 비교 데이터","React, Vite, React Router, FastAPI, SQLAlchemy, Pydantic, JWT, PostgreSQL, Neo4j, OpenAI Vision OCR, LangChain, LangGraph, PyTorch, Hugging Face BERT, Tavily Search, Docker, MCP, RunPod Serverless, Google Calendar API, OAuth 2.0, GitHub Actions",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-FINAL-1Team
635,SK네트웍스 Family AI 캠프,27,최종프로젝트,"Django 기반 서비스 앱과 AI, ETL, 저장소 작업 공간을 포함한 프로젝트 구조를 구성한 프로젝트입니다."," 폴더 구조상 사용자, 챗봇, 분석, 진단, 문제 관련 Django 앱과 LLM/ML 모델 작업 공간, 크롤링 및 문제 데이터 파이프라인 작업 공간을 포함합니다.",,"Python 3.12, Django, LLM, ML, 크롤링, Neo4j",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-FINAL-2Team
636,SK네트웍스 Family AI 캠프,27,최종프로젝트,교통분쟁 관련 데이터를 수집·전처리하고 AI Supervisor/Agent 흐름을 통해 최종 자연어 답변을 통합하는 AI 서비스 프로젝트,"이 프로젝트는 교통분쟁 AI 서비스를 구현하기 위해 화면, AI, 데이터 파이프라인, 저장소, 문서를 책임별로 분리해 관리한다. 법률, 과태료 룰, 판례/사례, 영상 manifest 등의 데이터 수집과 전처리를 관리하며, 최종 자연어 답변은 개별 Agent가 아니라 AI Supervisor 흐름에서 통합하도록 설계한다.",,"AI Supervisor, Agent, RAG metadata, API entrypoint, DB, migration, 데이터 파이프라인",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-FINAL-3Team
637,SK네트웍스 Family AI 캠프,27,최종프로젝트,사용자가 캐릭터와 일상 대화를 나누는 동안 6종 임상 척도를 추정하고 위로 카드와 맞춤형 웰니스 솔루션을 제공하는 비의료 개인 맞춤형 웰니스 케어 플랫폼입니다.,"이 프로젝트는 사용자가 편하게 대화하는 과정에서 백엔드의 숨은 척도 엔진이 마음 상태와 관련된 6종 임상 척도를 추정하도록 설계되었습니다. 핵심 기능은 캐릭터 기반 실시간 챗봇 API, LangGraph 기반 다중 에이전트 오케스트레이션, 감정 분류, 임상 척도 추정, 장기 기억 그래프 및 RAG, 위로 카드와 맞춤형 웰니스 솔루션 제공입니다. 프로젝트의 방향성은 의료 서비스가 아닌 개인 맞춤형 웰니스 케어 플랫폼을 구축하는 것입니다.",,"Python 3.12, Django, LangGraph, PostgreSQL, Neo4j, Docker, KcELECTRA, XGBoost, RAG, RESTful API, ETL, Jupyter Notebook",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN27-FINAL-4Team
